Location Name,Identifier,Road Section,State,Post Code,Latitude,Longitude,Electorate,Local Government Area,Regional Development Authority,Remoteness Area,Updated
Yamba,NSW-1789,N/A,New South Wales,2464,-29.43791653,153.3596712,Page,Clarence Valley,Northern Rivers,Inner Regional Australia,25 February 2016
Yancannia,NSW-1790,N/A,New South Wales,2880,-30.27379124,142.7722673,Farrer,Unincorporated NSW,Far West,Remote Australia,25 February 2016
Yanco,NSW-1791,N/A,New South Wales,2703,-34.60390345,146.4093412,Riverina,Leeton,Riverina,Outer Regional Australia,25 February 2016
Yanco Creek,NSW-1792,N/A,New South Wales,2716,-35.1608873,145.7803178,Farrer,Jerilderie,Murray,Outer Regional Australia,25 February 2016
Yaouk,NSW-1793,N/A,New South Wales,2629,-35.75502018,148.816701,Eden-Monaro,Cooma-Monaro,Southern Inland,Outer Regional Australia,25 February 2016
Yaouk Gap,NSW-1794,N/A,New South Wales,2629,-35.73231675,148.8172532,Eden-Monaro,Cooma-Monaro,Southern Inland,Outer Regional Australia,25 February 2016
Yarara,NSW-1795,N/A,New South Wales,2644,-35.72195534,147.6380224,Farrer,Greater Hume Shire,Murray,Outer Regional Australia,25 February 2016
Yarrabin,NSW-1796,N/A,New South Wales,2850,-32.58758574,149.317251,Parkes,Mid-Western Regional,Orana,Outer Regional Australia,25 February 2016
Yarramalong,NSW-1797,N/A,New South Wales,2259,-33.22393996,151.2795014,Dobell,Wyong,Central Coast,Inner Regional Australia,25 February 2016
Yarramalong Road,NSW-1798,Between Yarramalong and Cedar Brush Creek,New South Wales,2259,-33.20604918,151.2754743,Dobell,Wyong,Central Coast,Inner Regional Australia,25 February 2016
Yarramalong Road,NSW-1799,Between Yarramalong and Wyong  Creek,New South Wales,2259,-33.23814136,151.3028086,Dobell,Wyong,Central Coast,Inner Regional Australia,25 February 2016
Yarramalong Valley,NSW-1800,N/A,New South Wales,2259,-33.25498022,151.3262369,Dobell,Wyong,Central Coast,Inner Regional Australia,25 February 2016
Yarramundi,NSW-1801,N/A,New South Wales,2753,-33.61933774,150.6797253,Macquarie,Hawkesbury,Sydney,Major Cities of Australia,25 February 2016
Yarrangobilly,NSW-1802,N/A,New South Wales,2720,-35.65071003,148.4624149,Riverina,Tumut Shire,Southern Inland,Outer Regional Australia,25 February 2016
Yarras,NSW-1803,N/A,New South Wales,2446,-31.40265685,152.3412997,Lyne,Port Macquarie-Hastings,Mid North Coast,Outer Regional Australia,25 February 2016
Yarrawonga,NSW-1804,N/A,New South Wales,2850,-32.36500996,149.6539669,Parkes,Mid-Western Regional,Orana,Outer Regional Australia,25 February 2016
Yarrie Lake,NSW-1805,N/A,New South Wales,2388,-30.36858494,149.516285,Parkes,Narrabri,Northern Inland,Outer Regional Australia,25 February 2016
Yarrowitch,NSW-1806,N/A,New South Wales,2354,-31.41846878,152.0426031,New England,Walcha,Northern Inland,Outer Regional Australia,25 February 2016
Yarrowyck,NSW-1807,N/A,New South Wales,2358,-30.45991978,151.3562016,New England,Uralla,Northern Inland,Outer Regional Australia,25 February 2016
Yass,NSW-1808,N/A,New South Wales,2582,-34.84235739,148.9106883,Hume,Yass Valley,Southern Inland,Inner Regional Australia,25 February 2016
Yass River,NSW-1809,N/A,New South Wales,2582,-34.9279935,149.115894,Hume,Yass Valley,Southern Inland,Inner Regional Australia,25 February 2016
Yaven Creek,NSW-1810,N/A,New South Wales,2729,-35.50522071,147.9399137,Riverina,Tumut Shire,Southern Inland,Outer Regional Australia,25 February 2016
Yelgun,NSW-1811,N/A,New South Wales,2483,-28.48165264,153.5141941,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Yellow Mountain,NSW-1812,N/A,New South Wales,2825,-32.49906827,146.8491302,Parkes,Lachlan,Central West,Remote Australia,25 February 2016
Yellow Rock,NSW-1813,N/A,New South Wales,2527,-34.58973151,150.7435918,Throsby,Shellharbour,Illawarra,Inner Regional Australia,25 February 2016
Yengo National Park,NSW-1814,N/A,New South Wales,2325,-33.0610719,150.861355,Hunter,Cessnock,Hunter,Inner Regional Australia,25 February 2016
Yerong Creek,NSW-1815,N/A,New South Wales,2642,-35.38655838,147.0607345,Farrer,Lockhart,Riverina,Outer Regional Australia,25 February 2016
Yerong Creek Mangopl Road,NSW-1816,Between Mangoplah and Yerong Creek,New South Wales,2642,-35.40292473,147.1682412,Farrer,Lockhart,Riverina,Outer Regional Australia,25 February 2016
Yerranderie,NSW-1817,N/A,New South Wales,2787,-34.11827452,150.2226087,Hume,Wollondilly,Sydney,Inner Regional Australia,25 February 2016
Yetholme,NSW-1818,N/A,New South Wales,2795,-33.45018567,149.815344,Calare,Bathurst Regional,Central West,Inner Regional Australia,25 February 2016
Yetman,NSW-1819,N/A,New South Wales,2410,-28.90541705,150.7770652,New England,Inverell,Northern Inland,Outer Regional Australia,25 February 2016
Yetman Road,NSW-1820,Between Cherry Tree Hill and Graman,New South Wales,2360,-29.50466059,150.9743259,New England,Inverell,Northern Inland,Outer Regional Australia,25 February 2016
Yetman Road,NSW-1821,Between Inverell and Graman,New South Wales,2360,-29.61267535,151.0287428,New England,Inverell,Northern Inland,Outer Regional Australia,25 February 2016
Young,NSW-1822,N/A,New South Wales,2594,-34.31493724,148.2986177,Hume,Young,Southern Inland,Inner Regional Australia,25 February 2016
Yowrie,NSW-1823,N/A,New South Wales,2550,-36.31959761,149.7376339,Eden-Monaro,Bega Valley,South Coast,Outer Regional Australia,25 February 2016
Ando,NSW-1824,N/A,New South Wales,2631,-36.738506,149.261118,Eden-Monaro,Bombala,Southern Inland,Outer Regional Australia,25 February 2016
Appleby,NSW-1825,N/A,New South Wales,2340,-30.964374,150.826612,New England,Tamworth Regional,Northern Inland,Inner Regional Australia,25 February 2016
Arable,NSW-1826,N/A,New South Wales,2630,-36.368434,148.942748,Eden-Monaro,Snowy River,Southern Inland,Inner Regional Australia,25 February 2016
Arrawarra,NSW-1827,N/A,New South Wales,2456,-30.060036,153.192823,Cowper,Coffs Harbour,Mid North Coast,Inner Regional Australia,25 February 2016
Ashley,NSW-1828,N/A,New South Wales,2400,-29.316733,149.806643,Parkes,Moree Plains,Northern Inland,Outer Regional Australia,25 February 2016
Badja Road,NSW-1829,Between Numeralla and Badja,New South Wales,2630,-36.145305,149.480265,Eden-Monaro,Cooma-Monaro,Southern Inland,Outer Regional Australia,25 February 2016
Ballimore,NSW-1830,N/A,New South Wales,2830,-32.19586,148.900995,Parkes,Dubbo,Orana,Outer Regional Australia,25 February 2016
Bective,NSW-1831,N/A,New South Wales,2340,-30.97854,150.741648,New England,Tamworth Regional,Northern Inland,Outer Regional Australia,25 February 2016
Bells Road,NSW-1832,N/A,New South Wales,2575,-34.406924,150.465924,Hume,Wingecarribee,Southern Inland,Inner Regional Australia,25 February 2016
Berrara,NSW-1833,N/A,New South Wales,2540,-35.20502,150.553689,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
Binna Burra Road,NSW-1834,Between Federal and Binna Burra,New South Wales,2480,-28.685211,153.471791,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Boloco,NSW-1835,N/A,New South Wales,2627,-36.518832,148.695236,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Bomaderry,NSW-1836,N/A,New South Wales,2541,-34.854209,150.608793,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
Bora Ridge,NSW-1837,N/A,New South Wales,2471,-29.045497,153.227516,Page,Richmond Valley,Northern Rivers,Inner Regional Australia,25 February 2016
Boree,NSW-1838,N/A,New South Wales,2866,-33.232723,148.84146,Calare,Cabonne,Central West,Inner Regional Australia,25 February 2016
Bowan Park,NSW-1839,N/A,New South Wales,2864,-33.312208,148.827629,Calare,Cabonne,Central West,Inner Regional Australia,25 February 2016
Broughton,NSW-1840,N/A,New South Wales,2535,-34.745684,150.710314,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
Broughton Vale,NSW-1841,N/A,New South Wales,2535,-34.765597,150.704053,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
Broughton Village,NSW-1842,N/A,New South Wales,2534,-34.741757,150.750784,Gilmore,Kiama,Illawarra,Inner Regional Australia,25 February 2016
Broulee,NSW-1843,N/A,New South Wales,2537,-35.854972,150.175644,Eden-Monaro,Eurobodalla,South Coast,Inner Regional Australia,25 February 2016
Bullarah,NSW-1844,N/A,New South Wales,2400,-29.401368,149.1445,Parkes,Moree Plains,Northern Inland,Remote Australia,25 February 2016
Caddigat Creek,NSW-1845,N/A,New South Wales,2630,-36.028897,148.913234,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Coaldale,NSW-1846,N/A,New South Wales,2460,-29.39419,152.805722,Page,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Coaldale Road,NSW-1847,N/A,New South Wales,2460,-29.445098,152.820267,Page,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Colo Vale,NSW-1848,N/A,New South Wales,2575,-34.400722,150.482655,Hume,Wingecarribee,Southern Inland,Inner Regional Australia,25 February 2016
Coolringdon,NSW-1849,N/A,New South Wales,2630,-36.260809,149.017276,Eden-Monaro,Snowy River,Southern Inland,Inner Regional Australia,25 February 2016
Cooplacurripa ,NSW-1850,N/A,New South Wales,2424,-31.597257,151.920238,Lyne,Greater Taree,Mid North Coast,Outer Regional Australia,25 February 2016
Corndale,NSW-1851,N/A,New South Wales,2480,-28.700602,153.365472,Richmond,Lismore,Northern Rivers,Inner Regional Australia,25 February 2016
Crescent Head,NSW-1852,N/A,New South Wales,2440,-31.189809,152.977925,Lyne,Kempsey,Mid North Coast,Inner Regional Australia,25 February 2016
Dalgety Road,NSW-1853,N/A,New South Wales,2628,-36.415867,148.860434,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Dignams Creek Road,NSW-1854,Between Princes Hwy and Reedy Creek Road,New South Wales,2546,-36.335836,149.971792,Eden-Monaro,Bega Valley,South Coast,Outer Regional Australia,25 February 2016
Eagleton,NSW-1855,N/A,New South Wales,2324,-32.707702,151.757743,Paterson,Port Stephens,Hunter,Inner Regional Australia,25 February 2016
Errowanbang,NSW-1856,N/A,New South Wales,2791,-33.524499,149.039455,Calare,Blayney,Central West,Inner Regional Australia,25 February 2016
Ewingar,NSW-1857,N/A,New South Wales,2469,-29.094261,152.508874,Page,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Five Day Creek Road,NSW-1858,N/A,New South Wales,2440,-30.752911,152.399414,Cowper,Kempsey,Mid North Coast,Outer Regional Australia,25 February 2016
Foxground,NSW-1859,N/A,New South Wales,2534,-34.718102,150.770462,Gilmore,Kiama,Illawarra,Inner Regional Australia,25 February 2016
Frying Pan,NSW-1860,N/A,New South Wales,2630,-36.14376,148.810925,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Gleniffer,NSW-1861,N/A,New South Wales,2454,-30.388865,152.883524,Cowper,Bellingen,Mid North Coast,Outer Regional Australia,25 February 2016
Grose Vale,NSW-1862,N/A,New South Wales,2753,-33.58216,150.660882,Macquarie,Hawkesbury,Sydney,Inner Regional Australia,25 February 2016
Gumma,NSW-1863,N/A,New South Wales,2447,-30.715474,152.967531,Cowper,Nambucca,Mid North Coast,Outer Regional Australia,25 February 2016
Gundaroo,NSW-1864,N/A,New South Wales,2620,-35.026572,149.265838,Hume,Yass Valley,Southern Inland,Inner Regional Australia,25 February 2016
Guyra-Ebor Road,NSW-1865,N/A,New South Wales,2365,-30.234,151.856,New England,Guyra,Northern Inland,Outer Regional Australia,25 February 2016
Heifer Station,NSW-1866,N/A,New South Wales,2460,-29.467567,152.626062,Page,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Hyland Park,NSW-1867,N/A,New South Wales,2448,-30.613453,152.998732,Cowper,Nambucca,Mid North Coast,Outer Regional Australia,25 February 2016
Hyndmans Creek Road,NSW-1868,N/A,New South Wales,2446,-31.525103,152.591663,Lyne,Port Macquarie-Hastings,Mid North Coast,Inner Regional Australia,25 February 2016
Ironmungy,NSW-1869,N/A,New South Wales,2630,-36.584739,148.929814,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Joadja,NSW-1870,N/A,New South Wales,2575,-34.419265,150.259965,Hume,Wingecarribee,Southern Inland,Inner Regional Australia,25 February 2016
Kain,NSW-1871,N/A,New South Wales,2622,-35.738354,149.572481,Eden-Monaro,Palerang,Southern Inland,Outer Regional Australia,25 February 2016
Kamilaroi Highway,NSW-1872,N/A,New South Wales,2341,-31.379975,150.536394,New England,Liverpool Plains,Northern Inland,Outer Regional Australia,25 February 2016
Kangaloon,NSW-1873,N/A,New South Wales,2576,-34.554059,150.535922,Throsby,Wingecarribee,Southern Inland,Inner Regional Australia,25 February 2016
Keybarbin,NSW-1874,N/A,New South Wales,2469,-29.098831,152.612777,Page,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Koonorigan,NSW-1875,N/A,New South Wales,2480,-28.663124,153.239789,Richmond,Lismore,Northern Rivers,Inner Regional Australia,25 February 2016
Kosciuszko Road,NSW-1876,N/A,New South Wales,2627,-36.343701,148.581054,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Krawarree,NSW-1877,N/A,New South Wales,2622,-35.754852,149.640032,Eden-Monaro,Palerang,Southern Inland,Outer Regional Australia,25 February 2016
Lismore Heights,NSW-1878,N/A,New South Wales,2480,-28.803768,153.299947,Page,Lismore,Northern Rivers,Inner Regional Australia,25 February 2016
Longreach,NSW-1879,N/A,New South Wales,2540,-34.870209,150.523679,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
Maffra Road,NSW-1880,N/A,New South Wales,2630,-36.405917,149.044244,Eden-Monaro,Snowy River,Southern Inland,Inner Regional Australia,25 February 2016
Maianbar,NSW-1881,N/A,New South Wales,2230,-34.083948,151.125472,Cunningham,Sutherland Shire,Sydney,Inner Regional Australia,25 February 2016
Main Arm,NSW-1882,N/A,New South Wales,2482,-28.503744,153.433062,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Maloneys Beach,NSW-1883,N/A,New South Wales,2536,-35.709013,150.244027,Eden-Monaro,Eurobodalla,South Coast,Inner Regional Australia,25 February 2016
Mansfield Road,NSW-1884,N/A,New South Wales,2576,-34.496351,150.459759,Throsby,Wingecarribee,Southern Inland,Inner Regional Australia,25 February 2016
Marlee,NSW-1885,N/A,New South Wales,2429,-31.799086,152.316644,Lyne,Greater Taree,Mid North Coast,Inner Regional Australia,25 February 2016
Merah North,NSW-1886,N/A,New South Wales,2388,-30.183351,149.297127,Parkes,Narrabri,Northern Inland,Remote Australia,25 February 2016
Middlingbank,NSW-1887,N/A,New South Wales,2630,-36.210382,148.796347,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Millfield,NSW-1888,N/A,New South Wales,2325,-32.889064,151.254445,Hunter,Cessnock,Hunter,Inner Regional Australia,25 February 2016
Molly Milligan Road,NSW-1889,Between Clarefield-Dungay Creek Road and Cooperabung Range Road,New South Wales,2446,-31.20577,152.687366,Lyne,Port Macquarie-Hastings,Mid North Coast,Outer Regional Australia,25 February 2016
Monaro Highway,NSW-1890,Between Nimmitabel and Brown Mountain,New South Wales,2631,-36.575944,149.310733,Eden-Monaro,Cooma-Monaro,Southern Inland,Outer Regional Australia,25 February 2016
Mount Slow Road,NSW-1891,N/A,New South Wales,2365,-29.933346,151.832029,New England,Glen Innes Severn,Northern Inland,Outer Regional Australia,25 February 2016
Mount View Road,NSW-1892,N/A,New South Wales,2325,-32.849636,151.265559,Hunter,Cessnock,Hunter,Inner Regional Australia,25 February 2016
Mullumbimby Creek,NSW-1893,N/A,New South Wales,2482,-28.557636,153.463826,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Myalla Road,NSW-1894,N/A,New South Wales,2630,-36.394002,149.119072,Eden-Monaro,Snowy River,Southern Inland,Inner Regional Australia,25 February 2016
Myocum Road,NSW-1895,Between The Manse Road and Myocum Downs Drive,New South Wales,2481,-28.590518,153.497642,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Nowendoc Road,NSW-1896,N/A,New South Wales,2424,-31.636893,151.967916,Lyne,Greater Taree,Mid North Coast,Outer Regional Australia,25 February 2016
Nowlands Road,NSW-1897,Between Aberfoyle and Wards Mistake,New South Wales,2350,-30.203508,152.010014,New England,Guyra,Northern Inland,Outer Regional Australia,25 February 2016
Numulgi,NSW-1898,N/A,New South Wales,2480,-28.744482,153.324913,Richmond,Lismore,Northern Rivers,Inner Regional Australia,25 February 2016
Old Bangalow Road,NSW-1899,N/A,New South Wales,2481,-28.669937,153.602882,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Oxley Highway,NSW-1900,Between Carroll and Gunnedah,New South Wales,2340,-30.981939,150.36084,New England,Gunnedah,Northern Inland,Outer Regional Australia,25 February 2016
Paynes Crossing Road,NSW-1901,N/A,New South Wales,2330,-32.812808,151.076895,Hunter,Singleton,Hunter,Inner Regional Australia,25 February 2016
Princes Highway,NSW-1902,Between East Lynne and Cullendulla Beach,New South Wales,2536,-35.62998,150.251154,Gilmore,Eurobodalla,South Coast,Inner Regional Australia,25 February 2016
Putty Road,NSW-1903,N/A,New South Wales,2330,-32.800603,150.902072,Hunter,Singleton,Hunter,Outer Regional Australia,25 February 2016
Reids Road,NSW-1904,Between Pembrooke Road and Rollands Plains Road,New South Wales,2441,-31.340213,152.737948,Lyne,Port Macquarie-Hastings,Mid North Coast,Inner Regional Australia,25 February 2016
Rockvale Road,NSW-1905,Between Aberfoyle and Armidale,New South Wales,2350,-30.317207,151.960552,New England,Armidale Dumaresq,Northern Inland,Outer Regional Australia,25 February 2016
Rocky Plains Road,NSW-1906,N/A,New South Wales,2628,-36.306299,148.844748,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Rollands Plains,NSW-1907,N/A,New South Wales,2441,-31.279639,152.679067,Lyne,Port Macquarie-Hastings,Mid North Coast,Outer Regional Australia,25 February 2016
Rookhurst,NSW-1908,N/A,New South Wales,2422,-31.893788,151.879272,Lyne,Gloucester,Hunter,Outer Regional Australia,25 February 2016
Scotts Road,NSW-1909,N/A,New South Wales,2630,-36.188592,149.09703,Eden-Monaro,Cooma-Monaro,Southern Inland,Inner Regional Australia,25 February 2016
Silverdale Road,NSW-1910,N/A,New South Wales,2570,-34.00486,150.56783,Hume,Wollondilly,Sydney,Inner Regional Australia,25 February 2016
Sissons Road,NSW-1911,N/A,New South Wales,2350,-30.294845,151.929218,New England,Armidale Dumaresq,Northern Inland,Outer Regional Australia,25 February 2016
Six Mile Road,NSW-1912,N/A,New South Wales,2324,-32.696733,151.780545,Paterson,Port Stephens,Hunter,Inner Regional Australia,25 February 2016
Snowball,NSW-1913,N/A,New South Wales,2622,-35.94374,149.5748,Eden-Monaro,Palerang,Southern Inland,Outer Regional Australia,25 February 2016
Somerset Road,NSW-1914,N/A,New South Wales,2429,-31.916782,152.214261,Lyne,Greater Taree,Mid North Coast,Inner Regional Australia,25 February 2016
Sutton Road,NSW-1915,N/A,New South Wales,2620,-35.081767,149.254793,Hume,Yass Valley,Southern Inland,Inner Regional Australia,25 February 2016
Tarbuck Bay,NSW-1916,N/A,New South Wales,2428,-32.368483,152.478201,Paterson,Great Lakes,Hunter,Inner Regional Australia,25 February 2016
The Brothers,NSW-1917,N/A,New South Wales,2630,-36.340694,149.068623,Eden-Monaro,Snowy River,Southern Inland,Inner Regional Australia,25 February 2016
The Pocket,NSW-1918,N/A,New South Wales,2483,-28.505569,153.476371,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Tooleybuc,NSW-1919,N/A,New South Wales,2736,-35.029762,143.336,Farrer,Wakool,Murray,Outer Regional Australia,25 February 2016
Tregeagle,NSW-1920,N/A,New South Wales,2480,-28.847765,153.355925,Page,Lismore,Northern Rivers,Inner Regional Australia,25 February 2016
Tuross Head,NSW-1921,N/A,New South Wales,2537,-36.054089,150.134068,Eden-Monaro,Eurobodalla,South Coast,Outer Regional Australia,25 February 2016
Tyringham,NSW-1922,N/A,New South Wales,2453,-30.20822,152.543915,Page,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Tyrolean Village,NSW-1923,N/A,New South Wales,2627,-36.408787,148.637334,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Upper Orara,NSW-1924,N/A,New South Wales,2450,-30.278304,153.006617,Cowper,Coffs Harbour,Mid North Coast,Inner Regional Australia,25 February 2016
Upper Orara Road,NSW-1925,N/A,New South Wales,2450,-30.259726,153.023637,Cowper,Coffs Harbour,Mid North Coast,Inner Regional Australia,25 February 2016
Upper Rollands Plains,NSW-1926,N/A,New South Wales,2441,-31.237017,152.625139,Lyne,Port Macquarie-Hastings,Mid North Coast,Outer Regional Australia,25 February 2016
Upper Wilsons Creek,NSW-1927,N/A,New South Wales,2482,-28.522535,153.383616,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Wallabadah,NSW-1928,N/A,New South Wales,2343,-31.538625,150.831042,New England,Liverpool Plains,Northern Inland,Outer Regional Australia,25 February 2016
Wallabadah Creek Road,NSW-1929,N/A,New South Wales,2343,-31.564102,150.900158,New England,Liverpool Plains,Northern Inland,Outer Regional Australia,25 February 2016
Wallaby Gully Road,NSW-1930,N/A,New South Wales,2325,-32.953546,151.299092,Hunter,Cessnock,Hunter,Inner Regional Australia,25 February 2016
Wallalong,NSW-1931,N/A,New South Wales,2320,-32.697032,151.649989,Paterson,Port Stephens,Hunter,Major Cities of Australia,25 February 2016
Wallanthery,NSW-1932,N/A,New South Wales,2675,-33.405281,145.900605,Riverina,Carrathool,Riverina,Remote Australia,25 February 2016
Wallanthery Road,NSW-1933,N/A,New South Wales,2877,-33.244089,146.1043,Parkes,Cobar,Orana,Remote Australia,25 February 2016
Wanganui,NSW-1934,N/A,New South Wales,2482,-28.558845,153.38024,Richmond,Byron,Northern Rivers,Inner Regional Australia,25 February 2016
Willi Willi,NSW-1935,N/A,New South Wales,2440,-30.965503,152.374364,Lyne,Kempsey,Mid North Coast,Outer Regional Australia,25 February 2016
Wittitrin,NSW-1936,N/A,New South Wales,2440,-31.097502,152.661113,Lyne,Kempsey,Mid North Coast,Outer Regional Australia,25 February 2016
Wolgan Valley,NSW-1937,N/A,New South Wales,2790,-33.240061,150.155897,Calare,Lithgow,Central West,Inner Regional Australia,25 February 2016
Wongwibinda,NSW-1938,N/A,New South Wales,2350,-30.29513,152.170288,New England,Guyra,Northern Inland,Outer Regional Australia,25 February 2016
Yalwal,NSW-1939,N/A,New South Wales,2540,-34.9471,150.381306,Gilmore,Shoalhaven,South Coast,Inner Regional Australia,25 February 2016
4d Road ,NSW-1940,Between Pine Ridge and Spring Ridge ,New South Wales,2343,-31.434219,150.342183,New England,Liverpool Plains,Northern Inland,Outer Regional Australia,25 February 2016
Abercrombie,NSW-1941,N/A,New South Wales,2795,-33.389756,149.550286,Calare,Bathurst Regional,Central West,Inner Regional Australia,25 February 2016
Acacia Plateau Road,NSW-1942,Between Killarney Road and Gould Falls Road,New South Wales,2476,-28.375116,152.329489,New England,Tenterfield,Northern Inland,Outer Regional Australia,25 February 2016
Adams Peak Road,NSW-1943,N/A,New South Wales,2330,-32.763553,151.082901,Hunter,Singleton,Hunter,Inner Regional Australia,25 February 2016
Adjundgbilly,NSW-1944,N/A,New South Wales,2727,-35.08344,148.402856,Riverina,Gundagai,Riverina,Outer Regional Australia,25 February 2016
Adjungbillt-Threeway Road ,NSW-1945,N/A,New South Wales,2727,-35.084293,148.405485,Riverina,Gundagai,Riverina,Outer Regional Australia,25 February 2016
Adjungbilly Road,NSW-1946,N/A,New South Wales,2727,-34.921334,148.457286,Riverina,Gundagai,Riverina,Outer Regional Australia,25 February 2016
Alagala Road,NSW-1947,Between Tullamore and Dandaloo ,New South Wales,2874,-32.477885,147.665831,Calare,Parkes,Central West,Outer Regional Australia,25 February 2016
Albury Urana Road ,NSW-1948,Between Burrumbutandck and Walbundrie ,New South Wales,2642,-35.793957,146.786175,Farrer,Greater Hume Shire,Murray,Inner Regional Australia,25 February 2016
Allandale,NSW-1949,N/A,New South Wales,2320,-32.720453,151.413875,Hunter,Cessnock,Hunter,Inner Regional Australia,25 February 2016
Allandale Road,NSW-1950,N/A,New South Wales,2402,-29.251354,150.601697,Parkes,Gwydir,Northern Inland,Outer Regional Australia,25 February 2016
Allandy Station,NSW-1951,N/A,New South Wales,2880,-30.379307,142.605786,Farrer,Unincorporated NSW,Far West,Remote Australia,25 February 2016
Allgomera,NSW-1952,N/A,New South Wales,2441,-30.810057,152.808903,Cowper,Nambucca,Mid North Coast,Outer Regional Australia,25 February 2016
Allyn River Road ,NSW-1953,Between Allynbrook and East Gresford ,New South Wales,2311,-32.398187,151.56699,Paterson,Dungog,Hunter,Inner Regional Australia,25 February 2016
Alma Park,NSW-1954,N/A,New South Wales,2659,-35.596849,146.792626,Farrer,Greater Hume Shire,Murray,Outer Regional Australia,25 February 2016
Alma Park Road ,NSW-1955,Between Pleasant Hills and Alma Park ,New South Wales,2658,-35.528722,146.806788,Farrer,Lockhart,Riverina,Outer Regional Australia,25 February 2016
Alphadale Road,NSW-1956,Between Treagle Road and Cowlong Road,New South Wales,2480,-28.830945,153.364443,Page,Lismore,Northern Rivers,Inner Regional Australia,25 February 2016
Alphadale-Ballina Road,NSW-1957,N/A,New South Wales,2477,-28.846977,153.436719,Page,Ballina,Northern Rivers,Inner Regional Australia,25 February 2016
Alpine Way,NSW-1958,N/A,New South Wales,2624,-36.52654,148.193704,Riverina,Tumbarumba,Southern Inland,Outer Regional Australia,25 February 2016
Alpine Way ,NSW-1959,Between Crackenback and Jindabyne ,New South Wales,2627,-36.423096,148.570578,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Alyndale Road,NSW-1960,N/A,New South Wales,2329,-31.846701,150.334543,Hunter,Upper Hunter Shire,Hunter,Outer Regional Australia,25 February 2016
Amaroo Road,NSW-1961,N/A,New South Wales,2800,-33.193049,148.934348,Calare,Cabonne,Central West,Inner Regional Australia,25 February 2016
Angledool,NSW-1962,N/A,New South Wales,2834,-29.101474,147.895742,Parkes,Brewarrina,Orana,Very Remote Australia,25 February 2016
Annangrove ,NSW-1963,N/A,New South Wales,2156,-33.671086,150.955205,Berowra,The Hills Shire,Sydney,Major Cities of Australia,25 February 2016
Appin,NSW-1964,N/A,New South Wales,2560,-34.197911,150.788537,Macarthur,Wollondilly,Sydney,Inner Regional Australia,25 February 2016
Ardnaree Road,NSW-1965,N/A,New South Wales,2594,-34.213566,148.01994,Hume,Young,Southern Inland,Outer Regional Australia,25 February 2016
Argalong,NSW-1966,N/A,New South Wales,2720,-35.261779,148.485866,Riverina,Tumut Shire,Southern Inland,Outer Regional Australia,25 February 2016
Ariah Park Road,NSW-1967,N/A,New South Wales,2701,-34.749724,147.141321,Riverina,Coolamon,Riverina,Inner Regional Australia,25 February 2016
Armatree,NSW-1968,N/A,New South Wales,2828,-31.448453,148.483631,Parkes,Gilgandra,Orana,Outer Regional Australia,25 February 2016
Armidale Road,NSW-1969,N/A,New South Wales,2460,-29.761904,152.920255,Page,Clarence Valley,Northern Rivers,Inner Regional Australia,25 February 2016
Armidale-Kempsey Road,NSW-1970,N/A,New South Wales,2440,-30.817223,152.522514,Cowper,Kempsey,Mid North Coast,Outer Regional Australia,25 February 2016
Armidale-Kempsey Road,NSW-1971,Between Deep Creek and Corangula,New South Wales,2440,-30.985695,152.699576,Cowper,Kempsey,Mid North Coast,Outer Regional Australia,25 February 2016
