Location Name,Identifier,Road Section,State,Post Code,Latitude,Longitude,Electorate,Local Government Area,Regional Development Authority,Remoteness Area,Updated
Anglers Reach,NSW-0028,N/A,New South Wales,2629,-35.99900397,148.6652381,Eden-Monaro,Snowy River,Southern Inland,Outer Regional Australia,25 February 2016
Angourie,NSW-0029,N/A,New South Wales,2464,-29.47963478,153.3599624,Page,Clarence Valley,Northern Rivers,Inner Regional Australia,25 February 2016
Anna Bay,NSW-0030,N/A,New South Wales,2316,-32.77724241,152.086592,Paterson,Port Stephens,Hunter,Inner Regional Australia,25 February 2016
Arakoon,NSW-0031,N/A,New South Wales,2431,-30.88549219,153.0712854,Cowper,Kempsey,Mid North Coast,Outer Regional Australia,25 February 2016
Araluen,NSW-0032,N/A,New South Wales,2622,-35.64473561,149.8118116,Eden-Monaro,Palerang,Southern Inland,Inner Regional Australia,25 February 2016
Arcadia,NSW-0033,N/A,New South Wales,2159,-33.6105271,151.0672771,Berowra,Hornsby,Sydney,Inner Regional Australia,25 February 2016
Arding,NSW-0034,N/A,New South Wales,2358,-30.55663149,151.5304392,New England,Uralla,Northern Inland,Outer Regional Australia,25 February 2016
Ardlethan,NSW-0035,N/A,New South Wales,2665,-34.35791999,146.9027306,Riverina,Coolamon,Riverina,Outer Regional Australia,25 February 2016
Ariah Park,NSW-0036,N/A,New South Wales,2665,-34.34828003,147.2184322,Riverina,Temora,Riverina,Outer Regional Australia,25 February 2016
Armidale,NSW-0037,N/A,New South Wales,2350,-30.48653214,151.6765569,New England,Armidale Dumaresq,Northern Inland,Inner Regional Australia,25 February 2016
Armidale Road,NSW-0038,Between Grafton and Ebor,New South Wales,2453,-30.01094655,152.659702,Page,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Armidale-Kempsey Road,NSW-0039,Between Bellbrook and Willawarrin,New South Wales,2440,-30.86125557,152.5835033,Cowper,Kempsey,Mid North Coast,Outer Regional Australia,25 February 2016
Arumpo,NSW-0040,N/A,New South Wales,2715,-33.87070514,142.8861183,Farrer,Wentworth,Murray,Remote Australia,25 February 2016
Ashby,NSW-0041,N/A,New South Wales,2463,-29.4360449,153.1966996,Page,Clarence Valley,Northern Rivers,Inner Regional Australia,25 February 2016
Ashby-Tullymorgan Road,NSW-0042,Between Ashby and Tullymorgan,New South Wales,2463,-29.41094114,153.1528681,Page,Clarence Valley,Northern Rivers,Outer Regional Australia,25 February 2016
Ashford,NSW-0043,N/A,New South Wales,2361,-29.32111576,151.0935299,New England,Inverell,Northern Inland,Outer Regional Australia,25 February 2016
Attunga,NSW-0044,N/A,New South Wales,2345,-30.9297661,150.8466306,New England,Tamworth Regional,Northern Inland,Outer Regional Australia,25 February 2016
